Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2013-02-11,SIA,891,HKG,SIN,1,19,2,35,false,,2013-02-11T12:30,2013-02-11T12:30,,,,,2013-02-11T16:20,2013-02-11T16:21,,,,,,,,,d7c2f47d-4c12-468c-ae84-0fecdca23bb0,30242dfb-68a4-4ee8-8055-f967ba273f38,7da61aa8-3d56-411b-8be5-50a198e86c60,0408c509-a410-4361-806b-eebecfea9bc1,,
2013-02-11,SIA,285,SIN,AKL,3,A11,I,,false,,2013-02-11T21:15,2013-02-11T21:24,,,,,2013-02-12T12:10,2013-02-12T12:03,,,,,,,,,61cff26f-80bc-4dc1-ab3e-d148eb3eec60,30242dfb-68a4-4ee8-8055-f967ba273f38,0408c509-a410-4361-806b-eebecfea9bc1,0b50fa2a-bab6-44c2-bcd8-678f40d15369,,
2013-02-13,ANZ,639,AKL,ZQN,D,,,,false,,2013-02-13T10:05,2013-02-13T10:05,,,,,2013-02-13T11:55,2013-02-13T11:53,Boeing 737-300,,,,,,,,c08f2ead-526d-4284-822f-4a73d1763b69,e2595c02-5a11-4091-84fb-ba83be3f9927,0b50fa2a-bab6-44c2-bcd8-678f40d15369,0684ec0e-277c-4ba5-9c6a-7e26d97e0584,,0da1b92a-3c44-446a-8b2d-7ce519400cef
2013-02-21,SIA,298,CHC,SIN,,,3,,false,,2013-02-21T11:55,2013-02-21T11:57,,,,,2013-02-21T17:45,2013-02-21T17:25,,,,,,,,,a1902cdd-7f5f-472e-a01d-2e945495966d,30242dfb-68a4-4ee8-8055-f967ba273f38,62e695b2-b084-4703-b1a7-5dec09396c9b,0408c509-a410-4361-806b-eebecfea9bc1,,
2013-02-21,SIA,2,SIN,HKG,3,A4,1,,false,,2013-02-21T17:50,2013-02-21T18:22,,2013-02-21T18:40,,2013-02-21T21:55,2013-02-21T21:45,2013-02-21T22:00,,,,,,,,,afcb1a32-1a97-42ce-bdd6-5f0ab358e29f,30242dfb-68a4-4ee8-8055-f967ba273f38,0408c509-a410-4361-806b-eebecfea9bc1,7da61aa8-3d56-411b-8be5-50a198e86c60,,
2013-07-01,CSN,329,CAN,YVR,,,M,,false,,2013-07-01T14:00,,2013-07-01T14:10,,2013-07-01T10:57,2013-07-01T20:06,2013-07-01T10:45,,,,,,,,,,f2b759a6-4e25-488c-8eeb-5d25417def01,255d4d33-d2aa-4a84-bc7d-0613c507151f,7436d9ad-c589-49cb-9578-7762e8598fdc,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,
2013-07-31,CSN,330,YVR,CAN,M,,,,false,,2013-07-31T12:30,,2013-07-31T12:40,2013-07-31T13:32,2013-08-01T15:48,,2013-08-01T16:55,,,,,,,,,,19356a38-e303-41b2-b149-cb9d1ae79db5,255d4d33-d2aa-4a84-bc7d-0613c507151f,c71de46b-62e9-43fb-83e7-1f44a3a393fe,7436d9ad-c589-49cb-9578-7762e8598fdc,,
2014-08-02,KQA,883,CAN,NBO,,,1C,,false,,2014-08-02T22:55,2014-08-02T23:37,,2014-08-02T23:59,,2014-08-03T04:48,2014-08-03T05:25,2014-08-03T05:02,Boeing 777-300,,,,,,,,6d4e7c44-d004-4fc4-adb1-71692d515e89,a90ab660-a9f7-429a-a38e-2fcfb77d22da,7436d9ad-c589-49cb-9578-7762e8598fdc,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,,41adc260-cf8e-4245-a647-67b85d4348b6
2014-08-07,KQA,450,NBO,SEZ,1C,,I,,false,,2014-08-07T09:05,2014-08-07T09:49,,,,2014-08-07T13:39,2014-08-07T13:15,2014-08-07T13:46,Boeing 737-800,,,,,,,,7d704807-4ba7-4e83-9392-d1e5131c2797,a90ab660-a9f7-429a-a38e-2fcfb77d22da,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,1776ecfa-828f-46fb-8035-c571d9fa5d5f,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2014-08-19,KQA,882,NBO,CAN,1C,,,,false,,2014-08-19T00:35,2014-08-19T00:58,,,,2014-08-19T16:55,2014-08-19T16:05,2014-08-19T17:07,Boeing 777-300,,,,,,,,e5d1fa8f-804c-48e4-b856-ec6417cc748c,a90ab660-a9f7-429a-a38e-2fcfb77d22da,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,7436d9ad-c589-49cb-9578-7762e8598fdc,,41adc260-cf8e-4245-a647-67b85d4348b6
